1	2022	5	13	436	88200.00	5241
2	2022	5	13	506	102200.00	6080
3	2022	5	13	566	440808.26	6796
4	2022	5	13	607	73840.00	7287
5	2022	5	13	691	537939.06	8292
6	2022	5	13	635	191500.00	7622
7	2022	5	13	713	143600.00	8557
8	2022	5	13	650	131000.00	7804
9	2022	5	13	695	541047.24	8350
10	2022	5	13	634	127800.00	7612
11	2022	5	13	544	534120.00	6533
12	2022	5	13	477	215650.00	5733
13	2022	5	13	565	68800.00	6789
14	2022	5	13	557	156960.00	6693
15	2022	5	13	734	147800.00	8817
16	2022	5	13	544	109800.00	6530
17	2022	5	13	860	669259.90	10326
18	2022	5	13	559	112800.00	6708
19	2022	5	13	481	97200.00	5773
20	2020	10	31	747	149400.00	6326
20	2022	5	13	575	116000.00	6901
21	2022	5	13	517	104400.00	6210
22	2022	5	13	544	109800.00	934
23	2022	5	13	590	119000.00	7473
24	2022	5	13	578	70360.00	6938
25	2022	5	13	532	64840.00	6394
26	2022	5	13	546	110200.00	6555
27	2022	5	13	471	366988.85	5653
28	2022	5	13	505	102000.00	6068
29	2022	5	13	627	126400.00	7533
30	2022	5	13	524	408172.31	6298
