1	2020	1	31	356	71200.00	356
1	2020	2	29	316	63200.00	672
1	2020	3	31	318	63600.00	990
1	2020	4	30	404	80800.00	1394
1	2020	5	31	318	63600.00	1712
1	2020	6	30	721	144200.00	2433
1	2020	7	31	842	168400.00	3275
1	2020	8	31	116	23200.00	3391
1	2020	9	30	671	134200.00	4062
1	2020	10	31	743	88200.00	4805
2	2020	1	31	537	107400.00	537
2	2020	2	29	831	166200.00	1368
2	2020	3	31	157	31400.00	1525
2	2020	4	30	502	100400.00	2027
2	2020	5	31	425	85000.00	2452
2	2020	6	30	742	148400.00	3194
2	2020	7	31	857	171400.00	4051
2	2020	8	31	80	16000.00	4131
2	2020	9	30	591	118200.00	4722
2	2020	10	31	852	102200.00	5574
3	2020	1	31	347	207412.00	347
3	2020	2	29	731	436939.00	1078
3	2020	3	31	831	496712.00	1909
3	2020	4	30	631	377166.00	2540
3	2020	5	31	589	352062.00	3129
3	2020	6	30	738	441123.00	3867
3	2020	7	31	642	383741.00	4509
3	2020	8	31	620	370591.00	5129
3	2020	9	30	470	280932.00	5599
3	2020	10	31	631	440808.26	6230
4	2020	1	31	316	37920.00	316
4	2020	2	29	364	43680.00	680
4	2020	3	31	731	87720.00	1411
4	2020	4	30	711	85320.00	2122
4	2020	5	31	415	49800.00	2537
4	2020	6	30	839	100680.00	3376
4	2020	7	31	742	89040.00	4118
4	2020	8	31	1100	132000.00	5218
4	2020	9	30	731	87720.00	5949
4	2020	10	31	731	73840.00	6680
5	2020	1	31	842	503287.00	842
5	2020	2	29	841	502689.00	1683
5	2020	3	31	731	436939.00	2414
5	2020	4	30	631	377166.00	3045
5	2020	5	31	859	513448.00	3904
5	2020	6	30	263	157202.00	4167
5	2020	7	31	841	502689.00	5008
5	2020	8	31	1350	806933.00	6358
5	2020	9	30	270	161387.00	6628
5	2020	10	31	973	537939.06	7601
6	2020	1	31	784	156800.00	784
6	2020	2	29	814	162800.00	1598
6	2020	3	31	314	62800.00	1912
6	2020	4	30	381	76200.00	2293
6	2020	5	31	429	85800.00	2722
6	2020	6	30	467	93400.00	3189
6	2020	7	31	491	98200.00	3680
6	2020	8	31	1780	356000.00	5460
6	2020	9	30	880	176000.00	6340
6	2020	10	31	647	191500.00	6987
7	2020	1	31	637	127400.00	637
7	2020	2	29	641	128200.00	1278
7	2020	3	31	874	174800.00	2152
7	2020	4	30	631	126200.00	2783
7	2020	5	31	352	70400.00	3135
7	2020	6	30	832	166400.00	3967
7	2020	7	31	831	166200.00	4798
7	2020	8	31	1900	380000.00	6698
7	2020	9	30	415	83000.00	7113
7	2020	10	31	731	143600.00	7844
8	2020	1	31	718	143600.00	718
8	2020	2	29	631	126200.00	1349
8	2020	3	31	731	146200.00	2080
8	2020	4	30	531	106200.00	2611
